                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.92976,                 1.2317,                0.56374,                0.91656,                0.99058,                0.99861,                0.99417,                0.87598,                0.99058,                0.99861,                0.99417,                0.76366,                0.64547,                0.74586,                0.43579,                0.85664,              7.822e-05,              7.822e-05,              7.822e-05
                     25,                0.91733,                  1.207,                0.56249,                0.91345,                0.99089,                0.99703,                0.99415,                0.88185,                0.99089,                0.99703,                0.99415,                0.75766,                0.62952,                0.73676,                0.43076,                0.85118,              7.723e-05,              7.723e-05,              7.723e-05
                     26,                0.91276,                  1.224,                0.55831,                0.91369,                0.99394,                0.99554,                0.99432,                0.87272,                0.99394,                0.99554,                0.99432,                0.72491,                0.65163,                0.76057,                0.42299,                0.85324,              7.624e-05,              7.624e-05,              7.624e-05
                     27,                0.91533,                 1.2105,                0.55567,                 0.9124,                0.99277,                0.99806,                 0.9942,                0.87329,                0.99288,                0.99789,                 0.9942,                0.74742,                0.64436,                0.72045,                0.42468,                0.84994,              7.525e-05,              7.525e-05,              7.525e-05
                     28,                0.91568,                 1.2109,                0.55294,                0.91248,                0.99432,                0.99697,                0.99438,                0.87983,                0.99432,                0.99697,                0.99438,                0.76138,                0.63226,                0.74474,                0.42316,                0.85172,              7.426e-05,              7.426e-05,              7.426e-05
                     29,                0.91059,                 1.1954,                0.54833,                0.90869,                0.99403,                0.99665,                0.99439,                0.88375,                0.99403,                0.99665,                0.99439,                0.75754,                 0.6153,                0.72489,                0.41675,                0.85034,              7.327e-05,              7.327e-05,              7.327e-05
                     30,                0.89765,                 1.1717,                0.54586,                0.90677,                0.99225,                0.99814,                0.99437,                0.88145,                0.99225,                0.99814,                0.99437,                0.75977,                0.61276,                0.70581,                0.41162,                0.84683,              7.228e-05,              7.228e-05,              7.228e-05
                     31,                 0.8952,                 1.1826,                0.54211,                 0.9069,                0.99236,                 0.9968,                0.99449,                0.88851,                0.99236,                 0.9968,                0.99449,                 0.7641,                0.62359,                0.69708,                0.40666,                0.84763,              7.129e-05,              7.129e-05,              7.129e-05
                     32,                0.89777,                 1.1736,                0.54144,                0.90671,                0.99219,                0.99642,                0.99449,                 0.8885,                0.99219,                0.99642,                0.99449,                0.75177,                0.61453,                0.71525,                0.40715,                0.84704,               7.03e-05,               7.03e-05,               7.03e-05
                     33,                0.88847,                 1.1621,                 0.5352,                0.90563,                0.99258,                0.99492,                0.99406,                0.88606,                0.99258,                0.99492,                0.99406,                0.75048,                0.61382,                 0.7186,                0.40765,                0.84609,              6.931e-05,              6.931e-05,              6.931e-05
                     34,                0.89134,                 1.1677,                0.53513,                 0.9043,                0.99295,                0.99757,                0.99402,                 0.8885,                0.99295,                0.99757,                0.99402,                0.76736,                0.60899,                0.70748,                0.39905,                0.83814,              6.832e-05,              6.832e-05,              6.832e-05
                     35,                0.88549,                 1.1606,                0.53657,                  0.906,                 0.9937,                0.99628,                0.99389,                0.88908,                 0.9937,                0.99628,                0.99389,                0.77635,                0.60701,                0.71106,                0.40049,                0.84145,              6.733e-05,              6.733e-05,              6.733e-05
                     36,                0.87832,                 1.1663,                0.52891,                0.90154,                0.99283,                0.99851,                0.99419,                 0.8853,                0.99283,                0.99851,                0.99419,                0.76942,                0.59164,                0.68413,                0.40128,                0.84453,              6.634e-05,              6.634e-05,              6.634e-05
                     37,                0.87867,                 1.1619,                0.52862,                 0.9034,                0.99223,                 0.9974,                0.99433,                0.89215,                0.99223,                 0.9974,                0.99433,                0.77478,                0.60736,                0.68717,                0.39478,                 0.8408,              6.535e-05,              6.535e-05,              6.535e-05
                     38,                0.87579,                 1.1585,                0.52568,                0.90271,                0.99438,                0.99793,                0.99395,                0.89732,                0.99438,                0.99793,                0.99395,                0.76135,                0.58575,                0.69189,                0.39602,                0.83926,              6.436e-05,              6.436e-05,              6.436e-05
                     39,                0.86627,                 1.1397,                0.51756,                0.90113,                0.99404,                0.99785,                0.99448,                 0.8908,                0.99404,                0.99785,                0.99448,                0.76434,                0.59574,                0.68971,                0.39104,                 0.8386,              6.337e-05,              6.337e-05,              6.337e-05
                     40,                0.86674,                 1.1393,                0.51876,                0.89922,                0.99291,                0.99608,                0.99414,                0.89799,                0.99291,                0.99608,                0.99414,                0.77329,                0.58639,                 0.6903,                0.38833,                0.83736,              6.238e-05,              6.238e-05,              6.238e-05
                     41,                0.87051,                 1.1526,                0.51803,                0.89877,                0.99414,                0.99574,                0.99447,                0.89602,                0.99414,                0.99574,                0.99447,                 0.7606,                0.58366,                0.68342,                0.38595,                0.83687,              6.139e-05,              6.139e-05,              6.139e-05
                     42,                0.85743,                 1.1436,                0.51722,                0.89762,                0.99175,                0.99591,                0.99433,                0.89413,                0.99213,                0.99628,                0.99434,                0.75841,                0.58629,                0.68842,                0.39063,                0.83467,               6.04e-05,               6.04e-05,               6.04e-05
                     43,                0.85814,                 1.1483,                0.51239,                0.89851,                0.99403,                0.99566,                0.99391,                0.90023,                0.99403,                0.99566,                0.99391,                0.76291,                0.56934,                0.67767,                0.38432,                0.83105,              5.941e-05,              5.941e-05,              5.941e-05
                     44,                0.85773,                 1.1248,                0.51016,                0.89738,                0.99122,                0.99888,                0.99404,                0.89917,                0.99368,                0.99721,                0.99406,                0.76468,                0.57208,                0.67803,                0.38132,                0.83403,              5.842e-05,              5.842e-05,              5.842e-05
                     45,                0.85633,                  1.136,                0.50541,                0.89674,                0.99219,                0.99888,                0.99397,                0.89671,                 0.9927,                0.99926,                0.99399,                0.76535,                0.57862,                0.68585,                0.38599,                0.83409,              5.743e-05,              5.743e-05,              5.743e-05
                     46,                0.84887,                 1.1193,                0.50221,                0.89787,                0.99421,                0.99851,                0.99411,                0.89878,                0.99421,                0.99851,                0.99411,                0.77316,                0.57508,                0.65193,                0.37635,                0.83524,              5.644e-05,              5.644e-05,              5.644e-05
                     47,                0.85953,                 1.1308,                0.50866,                0.89766,                0.99392,                0.99851,                0.99437,                0.90292,                0.99392,                0.99851,                0.99437,                0.75884,                0.56534,                0.66333,                0.37484,                0.83258,              5.545e-05,              5.545e-05,              5.545e-05
                     48,                0.84585,                 1.1109,                0.49951,                0.89381,                 0.9928,                0.99809,                0.99396,                0.90057,                 0.9928,                0.99809,                0.99396,                0.77512,                0.56549,                 0.6516,                0.37276,                0.83316,              5.446e-05,              5.446e-05,              5.446e-05
                     49,                0.84369,                 1.1023,                0.50022,                0.89243,                0.99244,                 0.9974,                0.99382,                0.89864,                 0.9928,                0.99776,                0.99383,                0.75474,                0.56694,                0.65252,                 0.3763,                0.83426,              5.347e-05,              5.347e-05,              5.347e-05
                     50,                0.84052,                  1.109,                0.49728,                0.89177,                0.99419,                0.99651,                0.99407,                 0.9017,                0.99365,                0.99703,                0.99408,                0.76378,                0.56036,                0.62999,                0.36789,                0.83126,              5.248e-05,              5.248e-05,              5.248e-05
                     51,                0.83821,                 1.1043,                0.49706,                0.89226,                0.99302,                0.99963,                0.99391,                0.90678,                0.99302,                0.99963,                0.99392,                 0.7602,                0.55131,                0.65572,                0.36901,                0.83036,              5.149e-05,              5.149e-05,              5.149e-05
                     52,                0.84108,                  1.106,                0.49612,                0.89331,                0.99249,                0.99994,                0.99385,                0.90595,                0.99249,                0.99994,                0.99385,                0.77603,                0.55218,                0.65911,                0.36615,                0.82891,               5.05e-05,               5.05e-05,               5.05e-05
                     53,                0.84142,                 1.1081,                0.49575,                0.89172,                0.99322,                0.99926,                0.99397,                0.90829,                0.99307,                 0.9998,                0.99397,                0.76507,                0.54801,                 0.6345,                0.36501,                0.82955,              4.951e-05,              4.951e-05,              4.951e-05
                     54,                0.84019,                 1.1007,                0.49761,                0.89381,                0.99372,                0.99927,                0.99363,                0.91009,                0.99379,                0.99979,                0.99363,                0.76626,                 0.5456,                0.64844,                0.36142,                0.82928,              4.852e-05,              4.852e-05,              4.852e-05
                     55,                0.83088,                 1.0972,                0.49158,                0.88968,                0.99374,                0.99768,                0.99392,                0.90916,                0.99328,                 0.9991,                0.99393,                0.75936,                0.53562,                0.63568,                 0.3648,                 0.8268,              4.753e-05,              4.753e-05,              4.753e-05
                     56,                0.82439,                 1.0999,                0.48934,                0.88819,                0.98966,                0.99866,                0.99421,                0.91285,                0.98966,                0.99866,                0.99421,                0.78419,                0.54492,                0.65536,                0.36058,                0.82583,              4.654e-05,              4.654e-05,              4.654e-05
